coverage,length_score,structure_score,hedge_count,word_count_norm,score
0.812,0.21,0.738,1,0.165,75
0.633,0.166,0.139,0,0.26,68
0.57,0.532,0.597,0,0.479,76
0.289,0.267,0.858,1,0.362,53
0.75,0.412,0.059,0,0.522,68
0.866,0.25,0.711,2,0.174,73
0.393,0.142,0.632,1,0.116,56
0.634,0.88,0.093,1,0.955,74
0.877,0.455,0.488,1,0.306,79
0.733,0.731,0.458,1,0.79,80
0.796,0.398,0.968,2,0.312,70
0.828,0.338,0.578,1,0.444,77
0.894,0.762,0.046,1,0.847,77
0.124,0.858,0.441,0,1.0,63
0.996,0.909,0.882,0,0.807,100
0.274,0.655,0.25,0,0.704,65
0.052,0.626,0.726,2,0.546,52
0.704,0.001,0.477,0,0.029,68
0.445,0.008,0.344,0,0.154,57
0.132,0.071,0.383,1,0.163,40
0.368,0.299,0.383,2,0.375,47
0.993,0.143,0.531,0,0.176,76
0.351,0.213,0.748,0,0.248,62
0.217,0.897,0.14,0,0.924,63
0.963,0.315,0.14,0,0.358,75
0.601,0.721,0.285,1,0.579,74
0.876,0.205,0.607,0,0.279,75
0.055,0.898,0.955,0,0.864,64
0.638,0.071,0.889,0,0.217,76
0.132,0.861,0.568,0,0.875,61
0.471,0.987,0.073,1,0.857,66
0.04,0.06,0.789,1,0.0,48
0.767,0.424,0.402,1,0.435,73
0.277,0.31,0.511,0,0.452,55
0.327,0.586,0.763,1,0.64,58
0.699,0.73,0.846,0,0.653,89
0.116,0.612,0.055,1,0.685,53
0.119,0.708,0.701,0,0.707,62
0.517,0.823,0.259,0,0.711,77
0.269,0.886,0.771,0,0.837,71
0.524,0.263,0.975,1,0.136,66
0.36,0.5,0.567,0,0.397,69
0.894,0.674,0.115,1,0.677,71
0.863,0.245,0.472,0,0.371,73
0.96,0.035,0.803,1,0.107,73
0.322,0.416,0.72,0,0.514,66
0.119,0.673,0.053,0,0.764,62
0.954,0.069,0.465,0,0.151,74
0.086,0.457,0.369,0,0.476,52
0.623,0.464,0.592,0,0.613,78
0.732,0.547,0.796,0,0.399,80
0.233,0.346,0.84,0,0.481,56
0.657,0.849,0.727,0,0.761,89
0.42,0.961,0.973,0,1.0,76
0.921,0.897,0.52,1,1.0,85
0.748,0.581,0.505,1,0.677,69
0.568,0.435,0.964,0,0.373,80
0.926,0.393,0.832,0,0.338,82
0.075,0.203,0.78,1,0.086,44
0.45,0.314,0.121,0,0.453,58
0.308,0.265,0.12,0,0.357,53
0.705,0.603,0.215,2,0.551,61
0.248,0.356,0.513,1,0.296,58
0.174,0.952,0.855,1,1.0,63
0.462,0.804,0.14,0,0.673,74
0.222,0.198,0.401,1,0.237,51
0.582,0.259,0.813,0,0.408,68
0.646,0.809,0.092,2,0.908,64
0.043,0.461,0.168,1,0.441,49
0.496,0.383,0.427,0,0.297,63
0.28,0.883,0.035,1,0.918,62
0.499,0.883,0.479,0,0.817,72
0.199,0.885,0.526,1,1.0,63
0.02,0.382,0.713,0,0.395,54
0.913,0.502,0.388,0,0.36,83
0.029,0.811,0.281,2,0.958,49
0.767,1.0,0.974,0,0.924,89
0.534,0.791,0.737,2,0.94,65
0.847,0.797,0.355,2,0.944,71
0.237,0.318,0.738,0,0.442,55
0.701,0.948,0.564,1,1.0,84
0.81,0.97,0.542,0,0.967,84
0.233,0.219,0.526,0,0.169,58
0.806,0.341,0.177,2,0.444,62
0.022,0.587,0.917,2,0.47,51
0.365,0.073,0.705,1,0.042,50
0.302,0.136,0.158,0,0.224,59
0.649,0.174,0.969,1,0.291,70
0.357,0.666,0.814,0,0.608,74
0.127,0.729,0.949,1,0.696,68
0.965,0.032,0.602,2,0.172,64
0.566,0.937,0.141,1,0.81,70
0.32,0.636,0.963,2,0.699,63
0.887,0.447,0.265,0,0.505,77
0.787,0.72,0.048,0,0.79,84
0.885,0.493,0.379,1,0.456,80
0.789,0.578,0.758,0,0.477,78
0.846,0.295,0.319,0,0.167,72
0.375,0.732,0.547,0,0.683,76
0.893,0.705,0.431,1,0.604,85
0.157,0.101,0.206,0,0.074,50
0.926,0.54,0.661,0,0.461,81
0.572,0.84,0.154,0,0.691,70
0.824,0.625,0.48,0,0.483,78
0.292,0.082,0.844,0,0.167,59
0.895,0.265,0.642,0,0.17,84
0.369,0.446,0.263,0,0.375,67
0.564,0.151,0.696,0,0.027,66
0.541,0.971,0.59,1,0.839,74
0.523,0.966,0.687,0,0.988,78
0.299,0.395,0.854,0,0.396,70
0.8,0.678,0.62,0,0.813,83
0.949,0.167,0.212,0,0.055,75
0.988,0.435,0.997,1,0.329,86
0.32,0.727,0.807,0,0.693,70
0.326,0.276,0.458,2,0.13,52
0.588,0.782,0.113,0,0.676,75
0.758,0.94,0.925,1,1.0,89
0.867,0.88,0.878,0,0.845,92
0.609,0.037,0.275,0,0.072,65
0.402,0.396,0.879,1,0.317,67
0.921,0.897,0.02,2,0.985,74
0.843,0.858,0.685,2,0.776,77
0.744,0.774,0.321,1,0.749,78
0.188,0.211,0.824,1,0.206,53
0.374,0.056,0.791,0,0.0,61
0.136,0.851,0.879,0,0.753,73
0.201,0.058,0.033,0,0.183,50
0.274,0.824,0.505,1,0.951,66
0.242,0.489,0.446,2,0.481,52
0.344,0.838,0.259,2,0.895,56
0.387,0.163,0.572,0,0.27,63
0.678,0.269,0.41,0,0.378,76
0.682,0.474,0.132,0,0.504,66
0.252,0.805,0.305,1,0.848,60
0.376,0.349,0.252,0,0.29,61
0.624,0.584,0.007,1,0.724,70
0.561,0.594,0.283,1,0.476,61
0.988,0.641,0.861,0,0.688,97
0.651,0.188,0.517,0,0.308,73
0.802,0.6,0.661,1,0.492,72
0.497,0.296,0.907,0,0.262,65
0.708,0.572,0.19,1,0.636,72
0.638,0.476,0.941,0,0.478,83
0.841,0.876,0.181,0,0.867,87
0.725,0.559,0.913,1,0.679,79
0.222,0.223,0.871,0,0.309,58
0.261,0.294,0.851,0,0.16,64
0.58,0.621,0.472,0,0.621,79
0.382,0.298,0.054,2,0.193,54
0.343,0.987,0.893,0,0.88,82
0.18,0.081,0.333,0,0.025,45
0.452,0.209,0.774,1,0.288,61
0.764,0.088,0.614,1,0.067,66
0.477,0.005,0.534,1,0.0,50
0.322,0.833,0.191,1,0.684,65
0.226,0.877,0.312,0,0.842,67
0.167,0.824,0.298,0,0.811,63
0.524,0.434,0.687,0,0.387,76
0.359,0.188,0.948,2,0.159,51
0.727,0.131,0.734,1,0.132,63
0.711,0.792,0.375,1,0.719,76
0.049,0.995,0.662,1,1.0,56
0.116,0.444,0.124,0,0.436,49
0.695,0.63,0.301,1,0.51,72
0.623,0.701,0.419,0,0.704,78
0.283,0.785,0.498,1,0.695,60
0.523,0.202,0.703,0,0.1,68
0.91,0.688,0.481,0,0.539,88
0.907,0.835,0.669,0,0.97,94
0.075,0.724,0.905,1,0.643,65
0.296,0.464,0.1,0,0.576,63
0.36,0.677,0.426,0,0.555,71
0.046,0.852,0.663,0,0.801,68
0.955,0.268,0.733,0,0.362,79
0.401,0.962,0.272,0,1.0,73
0.422,0.886,0.167,0,0.945,66
0.942,0.159,0.416,1,0.154,73
0.438,0.611,0.779,1,0.47,70
0.839,0.973,0.131,0,0.857,85
0.046,0.262,0.314,1,0.372,45
0.744,0.724,0.224,1,0.836,74
0.688,0.618,0.433,1,0.543,71
0.676,0.385,0.839,1,0.503,73
0.012,0.934,0.506,0,1.0,67
0.075,0.492,0.241,0,0.357,50
0.643,0.403,0.235,0,0.386,71
0.088,0.498,0.316,0,0.572,49
0.403,0.036,0.549,2,0.0,50
0.619,0.305,0.508,0,0.351,70
0.341,0.825,0.817,2,0.811,65
0.62,0.473,0.657,1,0.459,65
0.659,0.002,0.355,1,0.141,57
0.522,0.702,0.046,0,0.7,74
0.743,0.409,0.254,0,0.315,79
0.393,0.457,0.781,1,0.408,67
0.047,0.633,0.672,0,0.715,59
0.658,0.956,0.135,0,0.807,82
0.553,0.433,0.585,1,0.517,71
0.692,0.174,0.815,0,0.14,75
0.883,0.504,0.385,1,0.629,79
0.274,0.964,0.97,0,1.0,71
0.603,0.886,0.512,2,0.946,75
0.712,0.936,0.633,0,0.849,89
0.687,0.921,0.133,1,0.966,80
0.504,0.694,0.322,0,0.772,73
0.583,0.943,0.71,1,1.0,82
0.286,0.847,0.808,1,0.729,66
0.053,0.057,0.267,2,0.0,33
0.251,0.839,0.691,0,0.75,71
0.359,0.453,0.616,1,0.525,65
0.742,0.561,0.238,2,0.65,69
0.693,0.047,0.382,0,0.184,73
0.313,0.552,0.013,0,0.463,65
0.86,0.443,0.226,1,0.504,75
0.755,0.547,0.603,2,0.614,66
0.449,0.983,0.074,0,1.0,68
0.041,0.279,0.264,0,0.304,46
0.331,0.71,0.155,0,0.839,66
0.774,0.625,0.843,0,0.622,85
0.358,0.784,0.318,0,0.921,69
0.786,0.159,0.543,0,0.037,70
0.213,0.332,0.361,0,0.467,58
0.475,0.561,0.752,1,0.414,70
0.446,0.904,0.614,1,0.827,66
0.886,0.381,0.796,0,0.347,84
0.283,0.911,0.822,0,0.915,74
0.487,0.296,0.652,0,0.3,73
0.167,0.956,0.538,0,0.994,64
0.63,0.213,0.685,2,0.094,61
0.703,0.976,0.775,1,1.0,78
0.686,0.024,0.717,0,0.0,64
0.794,0.558,0.575,0,0.681,80
0.451,0.404,0.316,0,0.456,65
0.641,0.618,0.756,1,0.482,78
0.358,0.503,0.29,1,0.443,53
0.765,0.438,0.395,1,0.297,67
0.22,0.747,0.797,2,0.761,64
0.144,0.677,0.914,2,0.787,58
0.957,0.011,0.875,0,0.0,74
0.597,0.537,0.947,0,0.45,81
0.726,0.212,0.906,2,0.216,62
0.221,0.835,0.194,0,0.886,65
0.054,0.751,0.99,1,0.739,61
0.291,0.067,0.098,1,0.091,52
0.357,0.671,0.235,0,0.707,71
0.318,0.451,0.616,0,0.509,60
0.567,0.808,0.959,0,0.659,79
0.222,0.74,0.436,2,0.698,57
0.332,0.48,0.445,2,0.422,54
0.176,0.607,0.842,2,0.705,60
0.196,0.734,0.627,1,0.607,55
0.507,0.031,0.582,0,0.112,59
0.037,0.261,0.894,1,0.253,53
